initials;initials-all;full-name;first-name;last-name;action-object;description;date-of-birth
OB;OB;of Brunhilda;of;Brunhilda;;;
OB;OB;of Bernard;of;Bernard;;French abbot, theologian;1090-01-01
OB;OEB;Octavia Butler;Octavia;Butler;;American science fiction writer;1947-06-22
OB;OB;of Beatrice;of;Beatrice;;Member of the British Royal Family and daughter of Queen Victoria;1857-04-14
OB;OB;OTIS BOYKIN;OTIS;BOYKIN;;invinted the IBM computer;1920-08-29
OB;OB;of Brothers;of;Brothers;;;
OB;OB;Omar Bongo;Omar;Bongo;;President of Gabon;1935-12-30
OB;OB;Olivia Bonamy;Olivia;Bonamy;;French actor;1972-09-21
OB;OB;Omar Bravo;Omar;Bravo;;Mexican footballer;1980-03-04
OB;OB;of Brendan;of;Brendan;;The Navigator;
OB;OB;Ota Benga;Ota;Benga;;Democratic Republic of the Congo;
OB;OB;Oscar Bonavena;Oscar;Bonavena;;Argentine boxer;1942-05-22
OB;OB;Orla Brady;Orla;Brady;;Irish actor;1961-03-28
OB;OB;Olave Baden-Powell;Olave;Baden-Powell;;World Chief Guide;1889-02-22
OB;OB;Oswald Boelcke;Oswald;Boelcke;;Germany;1891-05-19
OB;OB;Osman Baydemir;Osman;Baydemir;;Politician, lawyer, human rights activist;1971-01-01
OB;OB;Ole Beich;Ole;Beich;;Danish musician;1955-01-01
OB;OB;of Bernhard;of;Bernhard;;Prince consort of the Netherlands;1911-06-29
OB;OB;Ole Bull;Ole;Bull;;Norwegian violinist;1810-02-05
OC;OC;Oliver Cromwell;Oliver;Cromwell;;English military and political leader;1599-04-25
OC;OSC;Orson Card;Orson;Card;;American science fiction novelist;1951-08-24
OC;OCC;Oona Chaplin;Oona;Chaplin;;Actress, flamenco dancer, ballerina;1986-06-04
OC;OC;Olivia Cooke;Olivia;Cooke;;Actress;1993-12-27
OC;OC;Olivia Culpo;Olivia;Culpo;;Miss Universe 2012 winner;1992-05-08
OC;OC;Olivia Colman;Olivia;Colman;;British actress;1974-01-30
OC;OC;Of Catherine;Of;Catherine;;Italian Dominican saint;1347-03-25
OC;OKC;Ole Christiansen;Ole;Christiansen;;Founder of the Lego Group, a large company marketing toys still running today.;1891-04-07
OC;OC;Ornette Coleman;Ornette;Coleman;;American jazz musician;1930-03-19
OC;OC;Of Casualties;Of;Casualties;;;
OC;OC;Osric Chau;Osric;Chau;;Canadian actor;1986-07-20
OC;OC;Oliver Chris;Oliver;Chris;;English actor;1978-11-02
OC;OC;Otto Carius;Otto;Carius;;German Wehrmacht German Army tank commander;1922-05-27
OC;OC;of Charlotte;of;Charlotte;;Queen consort of George III;1744-05-19
OC;OC;Owen Chamberlain;Owen;Chamberlain;;American physicist;1920-07-10
OC;OC;Of Catherine;Of;Catherine;;Egyptian missionary;
OC;OC;Of Christina;Of;Christina;;;1626-01-01
OC;OC;Of Catherine;Of;Catherine;;;1401-10-27
OC;OC;Of Clare;Of;Clare;;Italian nun and saint;1194-07-16
OC;OC;Of Curzon;Of;Curzon;;British politician;1859-01-11
OC;OC;Oleg Cassini;Oleg;Cassini;;American fashion designer;1913-04-11
OC;OC;Orlando Cepeda;Orlando;Cepeda;;Puerto Rican baseball player;1937-09-17
OC;OC;of Clement;of;Clement;;Christian theologian;
OC;OC;Out Cash;Out;Cash;;Rapper;1990-08-15
OC;OC;Olivia Chow;Olivia;Chow;;Canadian politician;1957-03-24
OC;OC;Orlando Cruz;Orlando;Cruz;;Olympic boxer;1981-07-01
OC;OC;Oba Chandler;Oba;Chandler;;Convicted rapist and murderer;1946-10-11
OC;OC;Of Christian;Of;Christian;;;2005-10-15
OC;OC;of Claude;of;Claude;;Duchess of Brittany; queen consort of France;1499-10-14
OC;OC;of Cyril;of;Cyril;;Pope of Alexandria from 412 to 444;
OD;OD;of Duchess;of;Duchess;;English princess;1982-01-09
OD;OD;Omar Don;Omar;Don;;Dominican musician;1978-02-11
OD;OD;Otto Dix;Otto;Dix;;German artist;1891-12-02
OD;OD;Ondrej Duda;Ondrej;Duda;;Slovak footballer;1994-12-15
OD;OD;Olympia Dukakis;Olympia;Dukakis;;Actress;1931-06-20
OD;OD;Oliveira de;Oliveira;de;;Former Brazilian football forward;1964-02-16
OD;OD;Ossie Davis;Ossie;Davis;;Actor, film director;1917-12-18
OD;OD;Oleg Deripaska;Oleg;Deripaska;;Russian billionaire entrepreneur industrialist;1968-01-02
OD;OD;Osede Derik;Osede;Derik;;Spanish footballer;1993-02-21
OD;OD;Oskar Dirlewanger;Oskar;Dirlewanger;;SS officer;1895-09-26
OD;OD;Omid Djalili;Omid;Djalili;;British comedian;1965-09-30
OD;OD;Olmo del;Olmo;del;;Actor;1975-05-09
OD;OD;Olu Dara;Olu;Dara;;American musician;1941-01-12
OD;OD;Ortis Deley;Ortis;Deley;;British television presenter;1973-06-02
OD;OD;of Dipendra;of;Dipendra;;Nepalese prince;1971-06-27
OD;OD;Olli Dittrich;Olli;Dittrich;;German actor;1956-11-20
OD;OD;of Death;of;Death;;English newspaper vendor;1962-02-07
OD;OD;Olivia d'Abo;Olivia;d'Abo;;Actress, singer, songwriter;1969-01-22
OD;OD;Osamu Dazai;Osamu;Dazai;;Japanese author;1909-06-19
OD;OD;Olivier Dacourt;Olivier;Dacourt;;Footballer;1974-09-25
OD;OD;Olivier Dahan;Olivier;Dahan;;French film director;1967-06-26
OD;OD;Of Demographics;Of;Demographics;;;
OD;OD;Olof Dreijer;Olof;Dreijer;;Swedish musician;1981-11-27
OD;OD;Ousmane Dabo;Ousmane;Dabo;;Footballer;1977-02-08
OD;OD;Of Darzi;Of;Darzi;;;1960-05-07
OD;OD;Orlando Drummond;Orlando;Drummond;;Brazilian actor;1919-10-19
OD;OD;Olivier Dassault;Olivier;Dassault;;French politician;1951-06-01
OD;OD;Oen Dale;Oen;Dale;;Swimmer;1985-05-21
OD;OD;Omar Doom;Omar;Doom;;American actor;1976-06-29
OD;OD;Otto Dietrich;Otto;Dietrich;;German general;1897-08-31
OE;OE;Omar Epps;Omar;Epps;;Actor, musician;1973-07-20
OE;OE;of Elizabeth;of;Elizabeth;;Queen of England;1466-02-11
OE;OE;Of Eleanor;Of;Eleanor;;Queen consort, patroness;
OE;OE;Olaudah Equiano;Olaudah;Equiano;;British activist;1745-01-01
OE;OE;Of Elisabeth;Of;Elisabeth;;Austrian empress;1837-12-24
OE;OE;of Egbert;of;Egbert;;King of Wessex;
OE;OE;of Elizabeth;of;Elizabeth;;Empress of Russia;1709-12-29
OE;OJE;Omotola Ekeinde;Omotola;Ekeinde;;Nigerian actor and singer;1978-02-07
OE;OE;Of Edward;Of;Edward;;Prince of Great Britain;1767-11-02
OE;OE;Of Eusebius;Of;Eusebius;;Greek theologian and historian;
OE;OE;Olafur Eliasson;Olafur;Eliasson;;Danish-Icelandic artist;1967-01-01
OE;OE;Of Elisabeth;Of;Elisabeth;;Belgian princess;2001-10-25
OE;OE;of Emma;of;Emma;;Viking royal;
OE;OE;Orlando Engelaar;Orlando;Engelaar;;Dutch footballer;1979-08-24
OE;OE;Of Elizabeth;Of;Elizabeth;;spanish queen;1545-04-02
OE;OE;Of Elena;Of;Elena;;Spanish Infanta;1963-12-20
OE;OE;Of Eleanor;Of;Eleanor;;Queen of England;1241-01-01
OE;OE;of Elizabeth;of;Elizabeth;;Electress Palatine;1596-08-19
OE;OE;Olve Eikemo;Olve;Eikemo;;Norwegian musician;1973-06-27
OE;OE;Of Eudoxus;Of;Eudoxus;;Ancient Greek scholar;
OE;OE;of Eric;of;Eric;;King of Norway, Denmark, Sweden, Kalmar Union;1382-01-01
OE;OE;Of Eadwig;Of;Eadwig;;King of the English;
OE;OE;Oliver Evans;Oliver;Evans;;American inventor;1755-09-13
OE;OE;Of Eleanor;Of;Eleanor;;Archduchess of Austria;1498-11-15
OE;OE;Oliver Ellsworth;Oliver;Ellsworth;;United States;1745-04-29
OE;OE;Odysseas Elytis;Odysseas;Elytis;;Greek poet;1911-11-02
OE;OE;of Eleanor;of;Eleanor;;Queen of England;1223-01-01
OE;OE;Of Emma;Of;Emma;;Queen consort of King Kamehameha IV from 1856 to his death in 1863;1836-01-02
OE;OE;of Elizabeth;of;Elizabeth;;Hungarian saint;1207-07-07
OE;OE;Of Eleanor;Of;Eleanor;;Queen of Castille;1162-10-13
OS;OS;Omar Sy;Omar;Sy;;Actor;1978-01-22
OS;OS;Oskar Schindler;Oskar;Schindler;;German industrialist;1908-04-28
OS;OS;O Simpson;O;Simpson;;American football player;1947-07-09
OS;OS;Olivier Sarkozy;Olivier;Sarkozy;;French-American businessman;1969-05-26
OS;OS;Oliver Stone;Oliver;Stone;;American film director and screenwriter;1946-09-15
OS;OS;Omar Sharif;Omar;Sharif;;Egyptian actor;1932-04-10
OS;OS;Oliver Sykes;Oliver;Sykes;;British musician;1986-11-20
OS;OS;Otto Skorzeny;Otto;Skorzeny;;SS Officer;1908-06-12
OS;OS;Octavia Spencer;Octavia;Spencer;;American actor;1972-05-25
OS;OS;Oliver Sacks;Oliver;Sacks;;physician, author;1933-07-09
OS;OS;Orlando Salido;Orlando;Salido;;Mexican boxer;1980-11-16
OS;OAGS;Oswald Spengler;Oswald;Spengler;;German historian and philosopher;1880-05-29
OS;OS;Olga Syahputra;Olga;Syahputra;;Indonesian actor-singer;1983-02-08
OS;ONS;Osman Sharubutu;Osman;Sharubutu;;Ghanaian theologian;1923-04-23
OS;OS;of Sargon;of;Sargon;;Akkadian king;
OS;OS;Of Silvia;Of;Silvia;;Swedish Queen;1943-12-23
OS;OS;Oscar Schmidt;Oscar;Schmidt;;Professional basketball player;1958-02-16
OS;OLS;Oscar Scalfaro;Oscar;Scalfaro;;Italian politician;1918-09-09
OS;OS;Olivier Sitruk;Olivier;Sitruk;;French actor;1970-12-25
OS;OS;Olga Sosnovska;Olga;Sosnovska;;Polish actor;1972-05-21
OS;OS;Orlando Scandrick;Orlando;Scandrick;;American football player;1987-02-10
OS;OS;Ozzie Smith;Ozzie;Smith;;American professional baseball player, shortstop;1954-12-26
OS;OS;Owsley Stanley;Owsley;Stanley;;LSD chemist;1935-01-19
OS;OS;Otto Sander;Otto;Sander;;Actor;1941-06-30
OS;OS;Of Sophia;Of;Sophia;;Princess of the Palatinate;1630-10-14
OS;OS;Of Seymour;Of;Seymour;;English politician and admiral;
OS;OS;Osmel Sousa;Osmel;Sousa;;Venezuelan businessman;1946-09-26
OS;OS;Olympia Snowe;Olympia;Snowe;;American politician;1947-02-21
OS;OS;Oleg Salenko;Oleg;Salenko;;footballer;1969-10-25
OS;OS;Otto Schily;Otto;Schily;;Federal Minister of the Interior of Germany from 1998-2005;1932-07-20
OG;OG;Olivier Giroud;Olivier;Giroud;;Footballer;1986-09-30
OG;ODG;Olympe Gouges;Olympe;Gouges;;French playwright and political activist;1748-05-07
OG;OG;Oksana Grigorieva;Oksana;Grigorieva;;Russian pianist and singer-songwriter;1970-02-25
OG;OG;of Gaozu;of;Gaozu;;Han Dynasty emperor;
OG;OG;Odilo Globocnik;Odilo;Globocnik;;SS officer;1904-04-21
OG;OG;Of Governor-General;Of;Governor-General;;;1923-06-15
OG;OVG;Otto Guericke;Otto;Guericke;;German physicist;1602-11-20
OG;OG;Omar Gooding;Omar;Gooding;;American actor;1976-10-19
OG;OG;Oliver Goldsmith;Oliver;Goldsmith;;Anglo-Irish writer, poet, and physician;
OG;OG;Owen Garvan;Owen;Garvan;;Footballer;1988-01-29
OG;OLG;Orlando Garcia;Orlando;Garcia;;American politician;1952-01-01
OG;OG;Olivier Gourmet;Olivier;Gourmet;;Actor;1963-07-22
OG;OG;of Gabriel;of;Gabriel;;Passionist clerical student;1838-03-01
OG;OG;Olga Graf;Olga;Graf;;Russian speed skater;1983-07-15
OG;OG;Oleg Gordievsky;Oleg;Gordievsky;;;1938-10-10
OG;OG;Of Guy;Of;Guy;;King of Jerusalem;
OG;OG;of Geoffrey;of;Geoffrey;;;1113-08-24
OG;OG;Otto Gross;Otto;Gross;;Austrian psychoanalyst;1877-03-17
OG;OG;Otto Graham;Otto;Graham;;American football player, coach, executive;1921-12-06
OG;OG;of Guido;of;Guido;;Italian monk, inventor of musical notation;
OG;OG;Omar Galanti;Omar;Galanti;;Pornographic film actor;1973-09-19
OG;OG;Otto Grotewohl;Otto;Grotewohl;;German politician;1894-03-11
OG;OG;Omar Gonzalez;Omar;Gonzalez;;American soccer player;1988-10-11
OG;OG;Of Guillaume;Of;Guillaume;;Grand Duke of Luxembourg;1981-11-11
OG;OG;Ona Grauer;Ona;Grauer;;Canadian actor;1978-02-24
OG;OG;Olaf Glaeseker;Olaf;Glaeseker;;Press Secretary of the President of Germany;1961-01-01
OG;OJG;Odore Gendron;Odore;Gendron;;Catholic bishop;1921-09-13
OG;OG;O Gene;O;Gene;;Guitarist;1955-02-18
OG;OG;Of Gregory;Of;Gregory;;Merovingian bishop and saint;
OG;OG;Oscar Goodman;Oscar;Goodman;;American mayor;1939-07-26
OH;OJH;Owen Hart;Owen;Hart;;Professional wrestler;1965-05-07
OH;ODH;Olivia Havilland;Olivia;Havilland;;American actress;1916-07-01
OH;OH;of Herodotus;of;Herodotus;;Dorian historian;
OH;OH;Olivia Holt;Olivia;Holt;;Actress, singer;1997-08-05
OH;OH;of Hippocrates;of;Hippocrates;;Physician;
OH;OH;Oliver Hudson;Oliver;Hudson;;Actor;1976-09-07
OH;OH;Olivia Hussey;Olivia;Hussey;;British actress;1951-04-17
OH;OH;Oliver Hardy;Oliver;Hardy;;silent film comedian;1892-01-18
OH;OH;O Henry;O;Henry;;American short story writer;1862-09-11
OH;OH;Ofra Haza;Ofra;Haza;;Israeli singer;1957-11-19
OH;OH;Owen Hargreaves;Owen;Hargreaves;;Footballer;1981-01-20
OH;OH;Otto Hahn;Otto;Hahn;;German chemist;1879-03-08
OH;OH;Ollanta Humala;Ollanta;Humala;;President of Peru;1962-06-26
OH;OH;Omari Hardwick;Omari;Hardwick;;American actor;1974-01-09
OH;OH;of Hildegard;of;Hildegard;;Christian Mysticism;1098-01-01
OH;OH;Oliver Holmes;Oliver;Holmes;;United States Supreme Court justice;1841-03-08
OH;OH;Ottmar Hitzfeld;Ottmar;Hitzfeld;;German footballer and manager;1949-01-12
OH;OH;of Hussein;of;Hussein;;Royal Air Force air marshals;1935-11-14
OH;OH;Olivia Harrison;Olivia;Harrison;;Widow of George Harrison;1948-05-18
OH;OH;Oscar Hammerstein;Oscar;Hammerstein;;American songwriter, playwright, librettist, theatrical director;1895-07-12
OH;OH;of Hero;of;Hero;;Greek mathematician and physicist;
OH;OH;Oliver Holmes;Oliver;Holmes;;Poet, essayist, physician;1809-08-29
OH;OH;Of Haakon;Of;Haakon;;Norwegian prince;1973-07-20
OH;OH;Orrin Hatch;Orrin;Hatch;;United States Senator from Utah;1934-03-22
OH;OH;Ozark Henry;Ozark;Henry;;musician;1970-04-29
OH;OH;Omar Hakim;Omar;Hakim;;Musician;1959-02-12
OH;OH;Oliver Heaviside;Oliver;Heaviside;;electrical engineering;1850-05-18
OH;OH;Orel Hershiser;Orel;Hershiser;;American baseball player and coach;1958-09-16
OH;OH;Of Hisahito;Of;Hisahito;;Japanese prince;2006-09-06
OH;OH;Oliver Hirschbiegel;Oliver;Hirschbiegel;;Film director;1957-03-26
ON;ON;Olivia Newton-John;Olivia;Newton-John;;Anglo-Australian singer and actress;1948-09-26
ON;ON;Oliver North;Oliver;North;;Recipient of the Purple Heart medal;1943-10-07
ON;ON;Orlando Nicole;Orlando;Nicole;;American model and actress;1969-03-17
ON;ON;Oscar Niemeyer;Oscar;Niemeyer;;Brazilian architect;1907-12-15
ON;ON;of Noor;of;Noor;;Queen (1978-99) and Queen Dowager of Jordan (1999-present); philanthropist and activist;1951-08-23
ON;ON;Ogden Nash;Ogden;Nash;;American poet;1902-08-19
ON;ON;Ole Nydahl;Ole;Nydahl;;;1941-03-19
ON;ON;Oscar Nunez;Oscar;Nunez;;Comedian;1958-11-18
ON;ON;Oumar Niasse;Oumar;Niasse;;Footballer;1990-04-18
ON;ON;Oliver Neuville;Oliver;Neuville;;Footballer;1973-05-01
ON;ON;on Nightmares;on;Nightmares;;;
ON;ON;Otto Neurath;Otto;Neurath;;Austrian philosopher;1882-12-10
ON;ON;Odd Nerdrum;Odd;Nerdrum;;Norwegian artist;1944-04-08
ON;ON;Ozzie Nelson;Ozzie;Nelson;;Actor, band leader, television producer and director;1906-03-20
ON;ON;Omid Namazi;Omid;Namazi;;American soccer player-coach;1965-12-08
ON;ON;Of Nachman;Of;Nachman;;;1772-04-04
ON;ON;Ozzie Newsome;Ozzie;Newsome;;American football player, executive;1956-03-16
ON;ON;Oliver Nelson;Oliver;Nelson;;American jazz musician;1932-06-04
ON;ON;Owen Nolan;Owen;Nolan;;Ice hockey player;1972-02-12
ON;ON;Ondrej Nepela;Ondrej;Nepela;;Slovak figure skater;1951-01-22
ON;ON;Oodgeroo Noonuccal;Oodgeroo;Noonuccal;;Twentieth century Indigenous Australian poet, actress, writer, teacher, artist and a campaigner for Indigenous rights;1921-11-03
ON;ON;Offer Nissim;Offer;Nissim;;Israeli DJ and producer;
ON;ON;Oh No;Oh;No;;American rapper and record producer;1979-11-06
ON;ON;Of Nikolaos;Of;Nikolaos;;;1969-10-01
ON;ON;of Nicholas;of;Nicholas;;Holy Roman Empire;1401-01-01
ON;OIDN;Oto Nata;Oto;Nata;;Indonesian politician;1897-03-31
ON;ON;Of Nikolai;Of;Nikolai;;;1999-08-28
ON;ON;O Nayyar;O;Nayyar;;Indian composer;1926-01-16
ON;ON;Onjolee Nair;Onjolee;Nair;;Indian actor;
ON;ON;Otto Nerz;Otto;Nerz;;German footballer and manager;1892-10-21
AO;AO;Ashley Olsen;Ashley;Olsen;;Actress, fashion designer, producer, author;1986-06-13
AO;AO;Aletta Ocean;Aletta;Ocean;;Pornographic film actor, adult model;1987-12-14
AO;AO;Alistair Overeem;Alistair;Overeem;;Mixed martial artist and kickboxer;1980-05-17
AO;AO;Ann Olsson;Ann;Olsson;;Actress, singer;1941-04-28
AO;AO;Adnan Oktar;Adnan;Oktar;;Turkish author;1956-01-01
AO;AO;Annie Oakley;Annie;Oakley;;Sharpshooter, exhibition shooter;1860-08-13
AO;AO;Anette Olzon;Anette;Olzon;;Swedish people;1971-06-21
AO;AO;Ana Ortíz;Ana;Ortíz;;Actress;1971-01-25
AO;AO;Alexander Ovechkin;Alexander;Ovechkin;;Russian ice hockey player;1985-09-17
AO;AO;Alassane Ouattara;Alassane;Ouattara;;Ivorian politician;1942-01-01
AO;AO;Aristotle Onassis;Aristotle;Onassis;;;1906-01-15
AO;AMDO;Alexander Oxlade-Chamberlain;Alexander;Oxlade-Chamberlain;;Footballer;1993-08-15
AO;AO;Agnes Obel;Agnes;Obel;;Singer-songwriter;1980-10-28
AO;AAO;Apolo Ohno;Apolo;Ohno;;Speed skater;1982-05-22
AO;AO;Andrea Olivero;Andrea;Olivero;;;1970-02-24
AO;AO;Alex O'Loughlin;Alex;O'Loughlin;;Australian film and television actor;
AO;AO;Angelo Ogbonna;Angelo;Ogbonna;;Italian footballer;1988-05-23
AO;AAO;Ariel Ortega;Ariel;Ortega;;Argentine footballer;1974-03-04
AO;AO;Amancio Ortega;Amancio;Ortega;;Spanish business and billionaire;1936-03-28
AO;AO;Akbaruddin Owaisi;Akbaruddin;Owaisi;;Indian politician;1970-06-14
AO;AO;Arzum Onan;Arzum;Onan;;Turkish actor and model;1973-01-01
AO;AO;Amos Oz;Amos;Oz;;Israeli writer;1939-05-04
AO;AO;Athina Onassis-Miranda;Athina;Onassis-Miranda;;Equestrian;1985-01-29
AO;AO;Alexis Ohanian;Alexis;Ohanian;;;1983-04-24
AO;AO;Alan Oppenheimer;Alan;Oppenheimer;;Voice, film, television, stage and video game actor;1930-04-23
AO;AO;Anna Oxa;Anna;Oxa;;Italian singer;1961-04-28
AO;AO;Aubrey Oday;Aubrey;Oday;;American fashion designer, model and singer;1984-02-11
AO;ACDO;Amauri Oliveira;Amauri;Oliveira;;Footballer;1980-06-03
AO;AO;Adepero Oduye;Adepero;Oduye;;American actor;
AO;AO;Adriano Olivetti;Adriano;Olivetti;;;1901-04-11
AA;AA;Amy Adams;Amy;Adams;;Actress, singer;1974-08-20
AA;AA;Aaron Allston;Aaron;Allston;;American writer;1960-12-08
AA;ALBA;Adele Adkins;Adele;Adkins;;British singer-songwriter;1988-05-05
AA;AA;Aymen Abdennour;Aymen;Abdennour;;Tunisian footballer;1989-08-06
AA;AA;Ar� Arango;Ar�;Arango;;Mexican revolutionary;1878-06-05
AA;AA;Asa Akira;Asa;Akira;;Pornographic actress;1986-01-03
AA;AA;Alessandra Ambrosio;Alessandra;Ambrosio;;Brazilian model;1981-04-11
AA;AA;Adewale Akinnuoye-Agbaje;Adewale;Akinnuoye-Agbaje;;British actor;1967-08-22
AA;AA;Amanda Abbington;Amanda;Abbington;;English actress;
�A;�A;�� Ayyūb;��;Ayyūb;;Sultan of Egypt and Syria;
AA;AA;Alfie Allen;Alfie;Allen;;actor;1986-09-12
AA;AA;August Alsina;August;Alsina;;Singer;1992-09-03
AA;AA;Andre Agassi;Andre;Agassi;;American tennis player;1970-04-29
AA;AA;Aziz Ansari;Aziz;Ansari;;Actor, Comedian, Writer, Producer;1983-02-23
AA;AEA;Ansel Adams;Ansel;Adams;;American photographer;1902-02-20
AA;AA;Alan Alda;Alan;Alda;;Actor and United States Army officer;1936-01-28
AA;AA;Austin Aries;Austin;Aries;;professional wrestler;1978-04-15
AA;AA;ad alal;ad;alal;;13th century Persian poet, jurist, theologian and teacher of Sufism;1207-09-30
AA;AA;Almaz Atambaev;Almaz;Atambaev;;;1956-09-17
AA;AA;Aritz Aduriz;Aritz;Aduriz;;Spanish footballer;1981-02-11
AA;AWA;Alan Arkin;Alan;Arkin;;actor;1934-03-26
AA;AA;Allu Arjun;Allu;Arjun;;Indian actor;
AA;AA;Abella Anderson;Abella;Anderson;;American pornographic actress;1988-05-16
AA;ABA;Arsen Avakov;Arsen;Avakov;;Ukrainian politician;1964-01-02
AA;AA;Atif Aslam;Atif;Aslam;;Pakistani singer and actor;
AA;AA;Adler Alfred;Adler;Alfred;;Medical Doctor, Psychologist, Psychiatrist, Psychotherapist, Personality Theorist;1870-02-07
AA;AA;Arthur Ashe;Arthur;Ashe;;American tennis player;1943-07-10
AA;AA;Amy Acker;Amy;Acker;;Film and television actor;1976-12-05
AA;AA;Alfredo Angulo;Alfredo;Angulo;;boxer;1982-08-11
AA;AA;Abigail Adams;Abigail;Adams;;first Second Lady of the United States, second First Lady of the United States;1744-11-11
AB;AB;Alia Bhatt;Alia;Bhatt;;Actor, Singer;1993-03-15
AB;AGB;Alexander Bell;Alexander;Bell;;Telephone inventor;1847-03-03
AB;AB;Alec Baldwin;Alec;Baldwin;;American actor;1958-04-03
